cell_id,group,cycle,max_capacity_Ah,max_energy_Wh,voltage_max,voltage_min,voltage_mean,temp_mean,temp_max,duration_s,current_mean,current_std
002-2,G2,1,51.910343,165.061929,3.405512,2.5,3.1796250949451723,44.50954800748864,46.2,3737.6,-49.98395347526076,0.817536188221513
002-2,G2,51,51.541135,163.823128,3.474871,2.5,3.178270482628602,45.02677080527876,46.3,3711.1,-49.98389168246701,0.820757043972347
002-2,G2,101,50.885161,161.581808,3.491788,2.5,3.175338598090041,45.153833560709415,46.3,3663.8,-49.983763298226464,0.8256584943340108
002-2,G2,151,50.103149,158.886529,3.42612,2.5,3.171040917705736,45.02956497644777,46.6,3607.5,-49.983535731227484,0.8322542429124128
002-2,G2,201,49.543203,157.060042,3.425351,2.5,3.169954962454469,44.980470720089656,46.7,3567.2,-49.9833746155786,0.8369666091961014
002-2,G2,251,49.343557,156.540135,3.479485,2.5,3.1723692023072596,45.18829487900957,46.6,3552.8,-49.98328055655599,0.8386684859839785
002-2,G2,301,48.810762,154.848731,3.496863,2.5,3.1722775881683734,45.942491467576794,47.2,3514.5,-49.98316845051194,0.8431890687623541
002-2,G2,351,48.075274,152.304659,3.428119,2.5,3.167893876985273,45.11368755414381,47.1,3461.5,-49.98282271354317,0.849520390533881
002-2,G2,401,47.823141,151.640177,3.475947,2.5,3.17067379245283,45.70754716981132,47.1,3443.3,-49.982888331785205,0.8518339296366771
002-2,G2,451,47.282215,151.310075,3.487789,2.5,3.1999644718144453,45.00504991192014,46.3,3404.4,-49.982710832941876,0.8568863555322688
002-2,G2,501,46.499051,148.212692,3.418123,2.5,3.1873704344580474,43.69023589131084,46.1,3348.0,-49.982444659898476,0.8639236364331166
002-2,G2,551,46.388661,147.634053,3.464721,2.5,3.1822934021543983,44.72010771992819,46.0,3340.1,-49.982490350089776,0.8647982366256267
002-3,G2,1,55.068226,176.840858,3.385981,2.5,3.21106418351399,43.91862868666499,45.9,3965.0,-49.984754325939,0.7938116138257963
002-3,G2,51,54.812814,176.123164,3.453494,2.5,3.2130492520263427,44.49202127659574,46.2,3946.6,-49.984719502026344,0.7957205190332528
002-3,G2,101,54.134356,173.864331,3.453955,2.5,3.2116211597845603,44.74470377019749,46.0,3897.8,-49.984538951782504,0.8007038834727992
002-3,G2,151,53.250143,170.773303,3.416123,2.5,3.206775539624609,44.32917101147029,46.0,3834.1,-49.984386548748695,0.8071041124422033
002-3,G2,201,52.775871,169.183824,3.42858,2.5,3.205694894529195,44.3273540241978,46.1,3800.0,-49.971097719358234,1.1466528940025043
002-3,G2,251,52.91419,169.760065,3.481791,2.5,3.2081452038834954,44.97071634741538,46.6,3809.9,-49.984237305694045,0.8098958852396814
002-3,G2,301,52.367168,167.99097,3.49917,2.5,3.2078040079533405,45.95710498409332,47.3,3770.5,-49.984153588547194,0.8140727023386293
002-3,G2,351,51.481626,164.573283,3.42166,2.5,3.19663386596548,42.196898597626756,46.5,3706.8,-49.983937461974115,0.8211290364121683
002-3,G2,401,51.71926,165.832032,3.485482,2.5,3.2063110636241614,45.5285100671141,47.2,3723.9,-49.98398864751679,0.8192529201073494
002-3,G2,451,51.095601,163.94412,3.501323,2.5,3.2085173263586957,45.00396739130436,46.5,3679.0,-49.98380890027174,0.8241551277219745
002-3,G2,501,50.855023,163.046631,3.489481,2.5,3.2059850808080808,45.03619983619983,46.5,3661.7,-49.983770374829376,0.8260961669019201
002-3,G2,551,50.46847,161.710094,3.504552,2.5,3.2040931768913343,44.63042640990373,46.0,3633.8,-49.98363131141677,0.8292405687288013
002-4,G2,1,51.494833,163.567332,3.409049,2.5,3.1762754049609057,44.55866810461041,46.0,3707.7,-49.98388392558641,0.8210781705860911
002-4,G2,51,50.648251,159.353888,3.489481,2.5,3.1462058686951755,45.32675438596491,46.5,3646.8,-49.98365356524123,0.8278225905778738
